ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
	その他の修飾							江上
	関連する文		then	141				江上
141	対象文	ロイロット博士は部屋から出ていった。			Roylott went out of the Holmes's house.			江上
	Type							江上
	情報源							江上
	hasPredicate	出ていった	出た		go			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	部屋	ホームズの部屋		house of Holmes			江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T12		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
142	対象文	ホームズはヘレンの母の遺言状を見てきた。			Holmes has seen the will of Helen's mother.			江上
	Type							江上
	情報源							江上
	hasPredicate	見てきた	見る		investigate			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T13		江上
	What（何を）	ヘレンの母の遺言状	ヘレンの母の遺言状		will of mother of Helen		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	143				江上
143	対象文	ホームズは関係する投下資本の現在価格を計算した。			Holmes calculated the current price of the invested capital involved.			江上
	Type							江上
	情報源							江上
	hasPredicate	計算した	計算する		calculate			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T13		江上
	What（何を）	関係する投下資本の現在価格	関係する投下資本の現在価格		price of asset of mother of Helen		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
144	対象文	関係する投下資本の現在価格は、ヘレンの母が死んだ当時、年収で1100ポンド弱あった。			The current price of the invested capital involved was less than 1100 pounds in annual income at the time Helen's mother died.			江上
	Type							江上
	情報源							江上
	hasProperty	1100ポンド	1100ポンド		1100 GBP		Object	江上
	主語/Who（誰が）	関係する投下資本の現在価格	関係する投下資本の現在価格		price of asset of mother of Helen		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	ヘレンの母が死んだ当時	ヘレンの母が死んだ当時		death day of mother of Helen	1875-04-01T10	AbstractTime	江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）	年収で	年収		every year			江上
	その他の修飾							江上
	その他の修飾							江上
	関連する文							江上
145	対象文	関係する投下資本の現在価格は、今は農産物の価格下落のせいで、せいぜい750ポンドである。			The current price of the invested capital involved is now at most 750 pounds, due to the price drop of agricultural products now.			江上
	Type							江上
	情報源							江上
	hasProperty	750ポンド	750ポンド		750 GBP		Object	江上
	主語/Who（誰が）	関係する投下資本の現在価格	関係する投下資本の現在価格		price of asset of mother of Helen		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	今	今		now	1883-04-01T13		江上
	What（何を）							江上
	Why（なぜ）	農産物の価格下落	農産物の価格下落		by falling price of agricultural products		Object	江上
	How（どのように）							江上
	その他の修飾	せいぜい	せいぜい					江上
	その他の修飾							江上
	関連する文							江上
146	対象文	ヘレンとジュリアは結婚すると１人につき年収250ポンドずつ受け取れる。			Helen and Julia can receive an annual salary of ￡ 250 per person when married.			江上
	Type							江上
	情報源							江上
	hasPredicate	受け取れる	受け取る		have			江上
	主語/Who（誰が）	ジュリア	ジュリア		Julia			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	結婚すると	結婚するとき		when get married	1883-05-01T10	AbstractTime	江上
	What（何を）	250ポンド	250ポンド		250 GBP		Object	江上
	Why（なぜ）							江上
	How（どのように）	年収	年収		every year			江上
	その他の修飾							江上
	関連する文							江上
147	対象文	もしヘレンとジュリアが嫁ぐと、ロイロット博士のうま味が少しだけになる			If Helen and Julia married, Roylott will lose money.			江上
	Type							江上
	情報源							江上
	hasPredicate	うま味が少しだけになる	損をする		lose			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	もしヘレンとジュリアが嫁ぐと	ヘレンとジュリアが結婚するとき		if Helen and Julia married	1883-05-01T10		江上
	What（何を）				money			江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		if	148				江上
148	対象文	もしヘレンとジュリアが嫁ぐと			If Helen and Julia married			江上
	Type							江上
	情報源							江上
	hasPredicate	嫁ぐと	嫁ぐ		getMarried			江上
	主語/Who（誰が）	ヘレンとジュリア	ヘレンORジュリア		Helen AND Julia			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
149	対象文	ホームズは、ロイロット博士が娘を殺す動機があると証明した。			Holmes proved that  Roylottt had a motive to kill her daughter.			江上
	Type							江上
	情報源	〇〇の考え	ホームズ		Idea of Holmes			江上
	hasPredicate	動機がある	持つ		have			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T13		江上
	What（何を）	娘を殺す動機	娘を殺す動機		motivation of murder of sister		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
150	対象文	ホームズとワトソンは馬車を降りた。			Holmes and Watson got off the coach.			江上
	Type							江上
	情報源							江上
	hasPredicate	降りた	降りる		come			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	主語/Who（誰が）	ワトソン	ワトソン		Watson			江上
	Whom（誰に）							江上
	Where（どこで）	屋敷	屋敷		mansion of Roylott			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）	馬車	馬車		coach		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
151	対象文	馬車はレザヘッドへ引き返した。			The horse-drawn carriage returned to Reza Head.			江上
	Type							江上
	情報源							江上
	hasPredicate	引き返した	引き返す		go			江上
	主語/Who（誰が）	馬車	馬車		coach			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	屋敷	屋敷		mansion of Roylott			江上
	To（どこへ）	レザヘッド	レザヘッド		Leatherhead station			江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
152	対象文	ホームズはヘレンに約束通り会った。			Holmes met with Helen as promised.			江上
	Type							江上
	情報源							江上
	hasPredicate	会った	会う		meet			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes AND Watson			江上
	Whom（誰に）	ヘレン	ヘレン		Helen			江上
	Where（どこで）				mansion of Roylott			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
